Kalun+kaol.intmx.fd
Na-alun+kaol.intmx.fd
actinolite.fd
alunite+kaolinite.muscovite.added.fd
alunite+musc+pyroph.fd
alunite+pyroph.added.fd
alunite+pyrophyl.fd
alunite.33+kaol.33+musc.33.fd
alunite.5+kaol.5.fd
alunite.5+musc.5.fd
amphibole.fd
borate_colemanite.fd
borate_pinnoite.fd
calcite+0.2Na-mont.fd
calcite+0.5Ca-mont.fd
calcite.25+dolom.25+Na-mont.5.fd
carbonate_aragonite.fd
carbonate_azurite.fd
carbonate_calcite+0.2Ca-mont.fd
carbonate_calcite+0.2kaolwxl.fd
carbonate_calcite+0.3muscovite.fd
carbonate_calcite+dolomite.5.fd
carbonate_calcite.25+dolom.25+Ca-mont.5.fd
carbonate_calcite.fd
carbonate_calcite0.7+kaol0.3.fd
carbonate_dolo+.5ca-mont.fd
carbonate_dolomite.5+Na-mont.5.fd
carbonate_dolomite.fd
carbonate_magnesite.fd
carbonate_malachite.fd
carbonate_rhodochrosite.fd
carbonate_siderite.fd
carbonate_smectite_calcite.33+Ca-mont.67.fd
carbonate_strontianite.fd
carbonate_witherite.fd
chloride_carnallite.fd
chlorite-scarn.fd
chlorite.fd
chlorite_clinochlore.fd
chlorite_thuringite.fd
chrysocolla.fd
chrysotile.coarse-fibrous.fd
chrysotile.fine-fibrous.fd
chrysotile.gypsum.wtc01-8.fd
chrysotile.med-fine-fibrous.fd
clay_hectorite.fd
clintonite.fd
cyanide-CdK.fd
cyanide-KFe.fd
cyanide-NiK.fd
cyanide-ZnK.fd
cyanide-trihydrate.fd
datolite.fd
dick+musc+gyp+jar.amix.fd
elbaite.fd
epidote.fd
feldspar_buddington.namont.fd
feldspar_buddington.namont2.fd
feldspar_buddingtonite_ammonium.fd
hornblende.fd
howlite.fd
hydrogrossular.fd
hydroxide_brucite.fd
hydroxide_diaspore.fd
hydroxide_gibbsite.fd
kaol.75+alun.25.fd
kaol.75+pyroph.25.fd
kaolgrp_dickite.fd
kaolgrp_halloysite.fd
kaolgrp_kaolinite_pxl.fd
kaolgrp_kaolinite_wxl.fd
kaolin+musc.intimat.fd
kaolin.3+smect.7.fd
kaolin.5+muscov.medAl.fd
kaolin.5+muscov.medhighAl.fd
kaolin.5+smect.5.fd
kaolinite+muscovite.added.fd
kaolinite.3+.5+smectite.5+.7.added.fd
micagrp_biotite.fd
micagrp_illite.fd
micagrp_illite.gds4.fd
micagrp_illite.roscoelite.fd
micagrp_lepidolite.fd
micagrp_margarite.fd
micagrp_muscovite-low-Al.fd
micagrp_muscovite-med-Al.fd
micagrp_muscovite-medhigh-Al.fd
micagrp_muscoviteFerich.fd
micagrp_paragonite.fd
musc+gyp+jar+dick.amix.fd
musc+jarosite.intimat.fd
musc+pyroph.fd
muscovite+chlorite.fd
nitrate_niter.fd
nitrate_potassium.fd
nitrate_sodium.fd
organic_benzene+montswy.fd
organic_dry_long_grass-thick.fd
organic_drygrass+.17Na-mont.fd
organic_fiberglass-roofing.fd
organic_green_plastic_tarp.fd
organic_paint-1.fd
organic_plastic-hdpe.1.fd
organic_plastic-pete.fd
organic_plastic-pete2.fd
organic_plastic-pete3.fd
organic_plastic-pete4.fd
organic_plastic-polystyrene.fd
organic_plastic-tarp1.fd
organic_plastic-vinyl.fd
organic_plastic.grnhs.roof.fd
organic_tce+montswy.fd
organic_toluene+montswy.fd
organic_trichlor+montswy.fd
organic_unleaded.gas+montswy.fd
organic_vegetation-dry-grass-golden.fd
organic_vegetation-dry-grass-long.fd
organic_vegetation-dry-wood.fd
organic_white_pvc_pipe.fd
palygorskite.fd
perchlorate_mg.fd
perchlorate_na.fd
phlogopite.fd
polyhalite.fd
portlandite.fd
prehnite+.50chlorite.fd
prehnite+.67chlorite.fd
prehnite+.75chlorite.fd
prehnite+muscovite.fd
prehnite.fd
pyroph+musc.added.fd
pyroph+tr.musc.fd
pyroph.5+alunit.5.fd
pyroph.5+mont0.5.fd
pyrophyllite.fd
richterite.fd
rivadavite.fd
saponite.or.talc.fd
sepiolite.fd
sioh_chalcedony.fd
sioh_hydrated_basaltic_glass.fd
smectite_ammonillsmec.fd
smectite_beidellite_gds123.fd
smectite_beidellite_gds124.fd
smectite_montmorillonite_ca_swelling.fd
smectite_montmorillonite_fe_swelling.fd
smectite_montmorillonite_na_highswelling.fd
smectite_nontronite_swelling.fd
snow.and.ice.fd
snow.melting.1a.fd
snow.melting.3.fd
snow.melting.8.fd
snow.melting16+0.5veg.fd
snow.melting1a+0.5veg.fd
snow.melting9+0.5veg.fd
snow.slush.16.fd
snow.slush.9.fd
sulfate+kaolingrp_natroalun+dickite.fd
sulfate-mix_gyp+jar+musc+dick.amix.fd
sulfate-mix_gyp+jar+musc.amix.fd
sulfate-mix_gypsum+jar+illite.intmix.fd
sulfate-mix_gypsum.trace.dust+debris-WTC01-2.fd
sulfate-mix_gypsum.trace.dust+debris-WTC01-28.fd
sulfate_alun35K65Na.low.fd
sulfate_alun66K34Na.low.fd
sulfate_alun73K27Na.low.fd
sulfate_alunNa03.fd
sulfate_alunNa56450c.fd
sulfate_alunNa78.450c.fd
sulfate_alunite_int-comp.all.fd
sulfate_alunite_k.all.fd
sulfate_alunite_na.all.fd
sulfate_ammonalunite.fd
sulfate_ammonjarosite.fd
sulfate_gypsum.fd
sulfate_jarosite-K.fd
sulfate_jarosite-Na.fd
sulfate_jarosite-lowT.fd
sulfate_kalun150c.fd
sulfate_kalun250c.fd
